tic,toi,rotulo,disposicao,periodo_publicado,profundidade_publicada_ppm,periodo_recuperado,erro_periodo_rel,profundidade_pct,duracao_h,snr,pico,secundario_pct,odd_even,forma,centroide,pontos
234994474,134.01,planeta,CP,1.4015183,593.7540922,1.40166,0.00010,0.0533,1.121,17.71,0.0948,0.0027,0.1711,0.7500,0.7596,18276
410153553,136.01,planeta,CP,0.4629304,4507.3268775,0.92582,0.00005,0.4399,0.494,26.36,0.6389,0.3686,0.0113,0.7273,1.6700,18275
25375553,143.01,planeta,KP,2.3109689,6829.4236495,2.31144,0.00020,0.6322,2.774,200.08,1.3125,0.0086,0.0123,0.9167,0.2004,18233
261136679,144.01,planeta,CP,6.2678139,321.0000000,6.27417,0.00101,0.0283,2.510,44.06,0.0399,0.0000,0.0567,0.9167,0.6045,18264
393940766,148.01,planeta,CP,4.8670758,4965.8114653,4.86934,0.00046,0.4554,2.597,27.06,0.7346,0.0000,0.0913,0.6154,3.8784,11634
271893367,150.01,planeta,CP,5.8574075,6489.7302346,5.85496,0.00042,0.5768,5.465,91.20,1.1579,0.0073,0.0393,1.0000,2.9846,15571
394657039,159.01,planeta,CP,3.7628372,11360.0000000,3.76341,0.00015,1.0633,3.513,206.29,2.0910,0.0072,0.0503,0.9167,1.8299,19110
183120439,169.01,planeta,CP,2.2554459,5283.7103901,2.25634,0.00039,0.4346,1.203,30.26,0.6249,0.0046,0.1528,0.6154,0.4853,16711
307210830,175.01,planeta,CP,3.6906759,1657.0000000,3.69094,0.00007,0.1734,0.984,29.12,0.1707,0.0000,0.0157,0.7143,0.2090,17578
262530407,177.01,planeta,CP,2.8531016,1547.1068927,2.85364,0.00019,0.1377,1.141,27.11,0.1636,0.0000,0.0897,0.9167,0.4013,18299
207141131,179.01,planeta,CP,4.1374403,1008.4447279,4.13635,0.00026,0.1064,1.103,29.19,0.1162,0.0000,0.0480,0.5625,0.7460,18297
76923707,181.01,planeta,CP,4.5320502,7809.0577339,4.53229,0.00005,0.6162,2.417,91.19,0.8787,0.0242,0.1411,0.8000,8.3429,18300
279741379,186.02,planeta,CP,7.7897886,169.0703497,5.90773,0.24161,0.0498,2.363,23.15,0.0657,0.0050,1.9223,0.4000,5.5561,18277
183532609,191.01,planeta,KP,8.1587261,15337.0000000,8.14630,0.00152,1.3294,3.259,271.93,1.6632,0.0051,0.0091,0.8333,28.7684,18298
183985250,193.01,planeta,CP,0.7920645,1561.7798964,0.79205,0.00001,0.1427,0.634,56.05,0.2557,0.0046,0.0321,0.7273,1.1704,18299
230982885,195.01,planeta,KP,2.0727598,14761.0000000,2.07237,0.00019,1.2266,2.211,344.15,2.4795,0.0153,0.0097,0.8333,0.4330,18298
120610833,229.01,planeta,KP,3.1260751,11158.2764589,3.12612,0.00002,1.0539,0.834,64.05,1.0655,0.0436,0.0512,0.6667,1.3327,18298
204376737,231.01,planeta,KP,3.3610013,24081.7810523,3.36243,0.00042,2.0807,2.242,196.90,3.2467,0.0277,0.0184,0.8182,0.6751,18300
402026209,232.01,planeta,KP,1.3382314,27137.0920051,1.33822,0.00001,2.4511,1.784,278.50,5.4353,0.0128,0.0003,0.8333,0.4280,18299
9006668,238.01,planeta,CP,1.2730965,414.0000000,1.27256,0.00042,0.0408,1.188,11.04,0.0805,0.0000,0.0967,0.4286,1.5367,18300
9725627,239.01,planeta,KP,4.1567834,4830.1859522,4.15803,0.00030,0.4483,3.326,60.95,0.7814,0.0000,0.0529,0.8462,0.4977,18300
77031414,241.01,planeta,KP,1.3866519,14246.4665531,1.38677,0.00009,1.2414,2.034,196.60,2.9444,0.0059,0.0015,0.8333,4.4857,18300
118327550,244.01,planeta,CP,7.3972160,953.5477499,7.38792,0.00126,0.0772,0.985,6.88,0.0620,0.0040,0.2396,0.4000,0.2958,18299
158623531,246.01,planeta,KP,7.8728937,14639.4155321,7.86841,0.00057,1.3053,3.147,122.69,1.8176,0.0000,0.0319,0.8333,2.3405,18299
160148385,247.01,planeta,KP,3.4252563,14223.1726719,3.42451,0.00022,1.3095,1.826,90.64,1.8432,0.0000,0.0163,0.8333,0.7483,18299
184240683,250.01,planeta,KP,1.6284288,13798.6701483,1.62842,0.00001,1.1997,2.171,159.88,2.6616,0.0071,0.0124,0.9091,1.6003,18299
224225541,251.01,planeta,CP,4.9377227,844.8199092,6.39081,0.29428,0.1894,2.556,45.53,0.2698,0.0205,0.9956,0.7273,35.5704,18298
92226327,256.02,planeta,KP,3.7779418,3469.4507390,3.77582,0.00056,0.2925,1.007,16.79,0.3156,0.0073,0.1711,0.7000,0.4189,12736
63898957,261.01,planeta,CP,3.3639254,422.0610761,3.36015,0.00112,0.0365,3.136,15.01,0.0736,0.0000,0.1220,0.5455,0.5685,12866
159951311,265.01,planeta,KP,5.9242661,11796.3303624,5.91915,0.00086,1.0442,2.368,67.25,1.5247,0.0153,0.0604,0.8333,1.0734,13032
166836920,267.01,planeta,KP,5.7525804,5301.7998237,5.74767,0.00085,0.4634,5.364,203.19,0.9966,0.0030,0.0211,1.0000,0.3266,13185
259377017,270.01,planeta,CP,5.6604773,3451.8440419,5.66560,0.00091,0.2866,1.511,21.22,0.2378,0.0000,0.0000,0.5455,0.2164,12983
268766053,272.01,planeta,KP,3.3098458,19158.8321817,3.30998,0.00004,1.6776,1.765,109.47,2.5874,0.0000,0.0023,0.8333,0.9376,12919
439456714,277.01,planeta,CP,3.9934418,5801.8957159,3.99169,0.00044,0.5603,1.597,21.45,0.7620,0.0183,0.1895,0.5000,3.4404,12676
150030205,286.01,planeta,CP,4.5117295,306.1299697,2.25732,0.00065,0.0193,1.505,6.45,0.0318,0.0000,1.1247,0.3636,0.1291,18276
188570092,294.01,planeta,CP,7.3279450,13710.0000000,7.32959,0.00022,1.0474,2.932,62.34,1.4012,0.0000,0.0000,0.8182,1.5449,9655
114749636,306.01,planeta,KP,4.6027498,7456.7037756,4.59942,0.00072,0.6367,4.293,55.37,1.1962,0.0000,0.0620,1.0000,1.1851,14086
169765334,329.01,planeta,CP,5.7042858,940.9862890,5.70559,0.00023,0.0905,3.804,10.93,0.1361,0.0111,0.0206,1.0000,0.3384,14767
139285832,332.01,planeta,CP,0.7768500,830.0000000,0.77713,0.00036,0.1110,1.451,15.52,0.2975,0.0000,0.2127,0.5000,0.4689,14509
224245334,333.01,planeta,CP,3.7852328,1338.8791278,3.77269,0.00331,0.1308,3.018,13.46,0.2373,0.0000,0.0264,0.2857,1.3946,14906
116156517,338.01,planeta,KP,5.3677700,6650.0000000,5.36827,0.00009,0.6507,3.579,67.61,1.0881,0.0005,0.0430,0.6923,0.7222,14899
422655579,388.01,planeta,KP,2.9036858,4642.2749148,2.90504,0.00047,0.4244,4.648,125.54,1.1120,0.0057,0.0291,0.8333,27.4628,14810
382391899,391.01,planeta,KP,1.9550932,19634.9908668,1.95460,0.00025,1.7397,1.303,176.24,2.7716,0.0051,0.0023,0.8333,2.3218,14658
1129033,398.01,planeta,KP,1.3600283,19427.6944703,1.36003,0.00000,1.7602,1.813,449.45,4.0658,0.0000,0.0131,0.9167,22.7413,14818
35857242,400.01,planeta,KP,3.6344447,9230.0000000,3.63459,0.00004,0.8164,3.392,84.36,1.4532,0.0000,0.0765,0.8462,97.6249,14806
120896927,402.01,planeta,CP,4.7559995,360.5191272,4.76650,0.00221,0.0264,2.542,10.72,0.0397,0.0003,0.4998,0.5000,0.3759,13032
257567854,403.01,planeta,KP,3.5328220,11283.6194230,3.53475,0.00055,0.9487,3.299,118.68,1.8106,0.0225,0.0122,0.9091,26.3965,14738
153065527,406.02,planeta,CP,6.6149110,1060.5715819,6.58039,0.00522,0.1940,1.755,9.65,0.1736,0.0000,0.0000,0.3000,0.9313,13012
100990000,411.02,planeta,CP,4.0403007,143.5196245,4.03877,0.00038,0.0164,3.231,11.45,0.0304,0.0017,0.2664,0.5000,0.3603,13541
